 Dimension       Time    Gflop/s       GB/s        Error
        16   0.125287  15.963385 255.414167 0.000000e+00
        64   0.106177  18.838055 301.408876 0.000000e+00
       112   0.105954  18.881890 302.110245 0.000000e+00
       160   0.111732  17.962983 287.407726 0.000000e+00
       208   0.144341  13.965276 223.444413 0.000000e+00
       256   0.164675  12.225715 195.611437 0.000000e+00
       304   0.148104  13.657998 218.527968 0.000000e+00
       352   0.150933  13.292363 212.677808 0.000000e+00
       400   0.147020  13.930078 222.881241 0.000000e+00
       448   0.156853  13.757927 220.126836 0.000000e+00
       496   0.156571  14.028311 224.452972 0.000000e+00
       544   0.169662  13.284314 212.549022 0.000000e+00
       592   0.157678  13.158109 210.529738 0.000000e+00
       640   0.158677  13.216500 211.464007 0.000000e+00
       688   0.199724  13.044448 208.711165 0.000000e+00
       736   0.218458  10.950086 175.201378 0.000000e+00
       784   0.309141   9.352813 149.645014 0.000000e+00
       832   0.263981   8.726842 139.629479 0.000000e+00
       880   0.363762   7.493603 119.897647 0.000000e+00
       928   0.526509   6.071527  97.144438 0.000000e+00
       976   0.575213   6.465188 103.443001 0.000000e+00
      1024   0.327420   6.558802 104.940834 0.000000e+00
      1072   0.394446   6.246354  99.941660 0.000000e+00
      1120   0.489246   5.743239  91.891820 0.000000e+00
      1168   0.537242   5.931833  94.909322 0.000000e+00
      1216   0.636936   5.645922  90.334748 0.000000e+00
      1264   0.712583   5.668076  90.689223 0.000000e+00
      1312   0.801399   5.636154  90.178456 0.000000e+00
      1360   0.929719   5.411217  86.579466 0.000000e+00
      1408   1.055584   5.288655  84.618473 0.000000e+00
      1456   1.153899   5.349909  85.598537 0.000000e+00
      1504   1.308998   5.197981  83.167696 0.000000e+00
      1552   1.434390   5.212402  83.398437 0.000000e+00
      1600   1.580916   5.181806  82.908896 0.000000e+00
      1648   1.756924   5.095051  81.520817 0.000000e+00
      1696   1.926599   5.064263  81.028204 0.000000e+00
      1744   2.059087   5.152224  82.435589 0.000000e+00
      1792   2.160599   5.326843  85.229485 0.000000e+00
      1840   2.445538   5.094588  81.513404 0.000000e+00
      1888   2.688532   5.006345  80.101514 0.000000e+00
      1936   2.942504   4.932067  78.913066 0.000000e+00
      1984   3.102457   5.034418  80.550690 0.000000e+00
