 Dimension       Time    Gflop/s       GB/s        Error
        16   0.119753  16.701097 267.217544 0.000000e+00
        64   0.095148  21.021465 336.343433 0.000000e+00
       112   0.107056  18.687614 299.001825 0.000000e+00
       160   0.111773  17.956330 287.301272 0.000000e+00
       208   0.151042  13.345659 213.530536 0.000000e+00
       256   0.171691  11.726107 187.617717 0.000000e+00
       304   0.167303  12.090639 193.450226 0.000000e+00
       352   0.157917  12.704449 203.271185 0.000000e+00
       400   0.159891  12.808742 204.939871 0.000000e+00
       448   0.166952  12.925657 206.810507 0.000000e+00
       496   0.173509  12.658873 202.541961 0.000000e+00
       544   0.178732  12.610248 201.763971 0.000000e+00
       592   0.155786  13.317929 213.086863 0.000000e+00
       640   0.166505  12.595152 201.522431 0.000000e+00
       688   0.227527  11.450470 183.207521 0.000000e+00
       736   0.222651  10.743838 171.901411 0.000000e+00
       784   0.307571   9.400558 150.408927 0.000000e+00
       832   0.300738   7.660235 122.563761 0.000000e+00
       880   0.395773   6.887498 110.199976 0.000000e+00
       928   0.490532   6.516837 104.269388 0.000000e+00
       976   0.628932   5.912975  94.607597 0.000000e+00
      1024   0.354651   6.055197  96.883159 0.000000e+00
      1072   0.413959   5.951913  95.230614 0.000000e+00
      1120   0.469796   5.981016  95.696249 0.000000e+00
      1168   0.555403   5.737862  91.805785 0.000000e+00
      1216   0.645462   5.571343  89.141490 0.000000e+00
      1264   0.720392   5.606640  89.706233 0.000000e+00
      1312   0.828379   5.452587  87.241387 0.000000e+00
      1360   0.947296   5.310815  84.973045 0.000000e+00
      1408   1.072416   5.205645  83.290313 0.000000e+00
      1456   1.174422   5.256417  84.102676 0.000000e+00
      1504   1.321332   5.149458  82.391321 0.000000e+00
      1552   1.456400   5.133628  82.138046 0.000000e+00
      1600   1.631325   5.021684  80.346947 0.000000e+00
      1648   1.786198   5.011551  80.184809 0.000000e+00
      1696   1.932858   5.047862  80.765797 0.000000e+00
      1744   2.081891   5.095789  81.532626 0.000000e+00
      1792   2.166753   5.311712  84.987397 0.000000e+00
      1840   2.428424   5.130491  82.087859 0.000000e+00
      1888   2.703695   4.978268  79.652296 0.000000e+00
      1936   3.069013   4.728761  75.660174 0.000000e+00
      1984   3.142000   4.971058  79.536923 0.000000e+00
