 Dimension       Time    Gflop/s       GB/s        Error
        16   0.203048   9.849888 157.598213 0.000000e+00
        64   0.173320  11.540278 184.644452 0.000000e+00
       112   0.181253  11.037725 176.603601 0.000000e+00
       160   0.217016   9.248333 147.973333 0.000000e+00
       208   0.230009   8.763811 140.220977 0.000000e+00
       256   0.244919   8.220123 131.521966 0.000000e+00
       304   0.263879   7.665649 122.650379 0.000000e+00
       352   0.257026   7.805641 124.890262 0.000000e+00
       400   0.279667   7.323003 117.168043 0.000000e+00
       448   0.273324   7.895271 126.324335 0.000000e+00
       496   0.280885   7.819680 125.114882 0.000000e+00
       544   0.298607   7.547883 120.766136 0.000000e+00
       592   0.279206   7.430893 118.894285 0.000000e+00
       640   0.295490   7.097208 113.555335 0.000000e+00
       688   0.367069   7.097528 113.560449 0.000000e+00
       736   0.379878   6.297101 100.753617 0.000000e+00
       784   0.512580   5.640764  90.252228 0.000000e+00
       832   0.458023   5.029707  80.475311 0.000000e+00
       880   0.594088   4.588357  73.413704 0.000000e+00
       928   0.776630   4.116136  65.858182 0.000000e+00
       976   0.902267   4.121680  65.946888 0.000000e+00
      1024   0.511563   4.197889  67.166231 0.000000e+00
      1072   0.652517   3.775919  60.414702 0.000000e+00
      1120   0.750984   3.741566  59.865060 0.000000e+00
      1168   0.886590   3.594476  57.511611 0.000000e+00
      1216   1.018979   3.529114  56.465820 0.000000e+00
      1264   1.173781   3.440996  55.055928 0.000000e+00
      1312   1.350277   3.345096  53.521534 0.000000e+00
      1360   1.532810   3.282150  52.514407 0.000000e+00
      1408   1.783877   3.129486  50.071784 0.000000e+00
      1456   1.904098   3.242088  51.873414 0.000000e+00
      1504   2.146845   3.169369  50.709900 0.000000e+00
      1552   2.379746   3.141772  50.268348 0.000000e+00
      1600   2.648821   3.092697  49.483146 0.000000e+00
      1648   2.870725   3.118244  49.891903 0.000000e+00
      1696   3.147430   3.099927  49.598828 0.000000e+00
      1744   3.550853   2.987699  47.803180 0.000000e+00
      1792   3.716640   3.096660  49.546559 0.000000e+00
      1840   4.149349   3.002641  48.042262 0.000000e+00
      1888   4.452745   3.022791  48.364657 0.000000e+00
      1936   4.857860   2.987453  47.799245 0.000000e+00
      1984   5.568742   2.804774  44.876385 0.000000e+00
