 Dimension       Time    Gflop/s       GB/s        Error
         8   0.229499   8.714628 139.434048 0.000000e+00
        56   0.241785   8.272909 132.366551 0.000000e+00
       104   0.398131   5.023493  80.375884 0.000000e+00
       152   0.257123   7.785109 124.561743 0.000000e+00
       200   0.262832   7.670293 122.724689 0.000000e+00
       248   0.246280   8.175240 130.803847 0.000000e+00
       296   0.270066   7.490316 119.845057 0.000000e+00
       344   0.258773   7.865488 125.847816 0.000000e+00
       392   0.274792   7.453046 119.248742 0.000000e+00
       440   0.289487   7.062208 112.995328 0.000000e+00
       488   0.294930   7.092723 113.483574 0.000000e+00
       536   0.256282   8.412101 134.593613 0.000000e+00
       584   0.311337   7.676946 122.831138 0.000000e+00
       632   0.272318   7.415912 118.654588 0.000000e+00
       680   0.327634   7.677640 122.842245 0.000000e+00
       728   0.291970   7.928794 126.860711 0.000000e+00
       776   0.350583   7.997351 127.957623 0.000000e+00
       824   0.286602   7.808404 124.934459 0.000000e+00
       872   0.342689   7.739433 123.830931 0.000000e+00
       920   0.385777   8.073970 129.183523 0.000000e+00
       968   0.458419   7.914499 126.631991 0.000000e+00
      1016   0.260652   8.047298 128.756760 0.000000e+00
      1064   0.299947   8.031745 128.507923 0.000000e+00
      1112   0.342593   8.027238 128.435804 0.000000e+00
      1160   0.408758   7.637270 122.196314 0.000000e+00
      1208   0.444596   7.929859 126.877737 0.000000e+00
      1256   0.522006   7.591426 121.462808 0.000000e+00
      1304   0.556968   7.962197 127.395151 0.000000e+00
      1352   0.625330   7.904072 126.465148 0.000000e+00
      1400   0.690368   7.949385 127.190155 0.000000e+00
      1448   0.789439   7.691605 123.065686 0.000000e+00
      1496   0.875128   7.651621 122.425934 0.000000e+00
      1544   1.002102   7.346155 117.538479 0.000000e+00
      1592   1.092664   7.385374 118.165989 0.000000e+00
      1640   1.187786   7.427169 118.834703 0.000000e+00
      1688   1.292976   7.439726 119.035612 0.000000e+00
      1736   1.354351   7.725878 123.614043 0.000000e+00
      1784   1.486836   7.637503 122.200055 0.000000e+00
      1832   1.596751   7.701391 123.222250 0.000000e+00
      1880   1.792799   7.412624 118.601983 0.000000e+00
      1928   1.884684   7.605233 121.683733 0.000000e+00
      1976   2.212901   6.973147 111.570345 0.000000e+00
