 Dimension       Time    Gflop/s       GB/s        Error
        12   1.784805   1.120571  17.929142 0.000000e+00
        60   0.218191   9.167023 146.672362 0.000000e+00
       108   0.446963   4.475588  71.609407 0.000000e+00
       156   0.202964   9.876198 158.019163 0.000000e+00
       204   0.151539  13.221463 211.543412 0.000000e+00
       252   0.142581  14.141980 226.271674 0.000000e+00
       300   0.150018  13.678322 218.853154 0.000000e+00
       348   0.142022  14.243697 227.899156 0.000000e+00
       396   0.145964  14.464999 231.439991 0.000000e+00
       444   0.138115  15.209642 243.354271 0.000000e+00
       492   0.138347  15.495220 247.923524 0.000000e+00
       540   0.147366  14.959316 239.349050 0.000000e+00
       588   0.133493  15.229119 243.665907 0.000000e+00
       636   0.133483  15.418307 246.692905 0.000000e+00
       684   0.178097  14.374764 229.996218 0.000000e+00
       732   0.156613  15.026479 240.423670 0.000000e+00
       780   0.186804  15.242243 243.875891 0.000000e+00
       828   0.142407  15.944844 255.117504 0.000000e+00
       876   0.170809  15.742060 251.872958 0.000000e+00
       924   0.201864  15.632074 250.113183 0.000000e+00
       972   0.250001  14.693246 235.091928 0.000000e+00
      1020   0.143934  14.745738 235.931808 0.000000e+00
      1068   0.156773  15.540768 248.652292 0.000000e+00
      1116   0.175793  15.813281 253.012497 0.000000e+00
      1164   0.218160  14.458219 231.331508 0.000000e+00
      1212   0.226799  15.699929 251.198858 0.000000e+00
      1260   0.258929  15.451131 247.218091 0.000000e+00
      1308   0.295568  15.142454 242.279260 0.000000e+00
      1356   0.341033  14.622189 233.955030 0.000000e+00
      1404   0.370497  14.939879 239.038071 0.000000e+00
      1452   0.419629  14.590308 233.444925 0.000000e+00
      1500   0.450372  14.987627 239.802030 0.000000e+00
      1548   0.507624  14.615070 233.841114 0.000000e+00
      1596   0.556220  14.617801 233.884822 0.000000e+00
      1644   0.630363  14.097596 225.561539 0.000000e+00
      1692   0.684731  14.148524 226.376389 0.000000e+00
      1740   0.712974  14.777611 236.441776 0.000000e+00
      1788   0.798184  14.322860 229.165756 0.000000e+00
      1836   0.860549  14.383760 230.140157 0.000000e+00
      1884   0.937390  14.267643 228.282289 0.000000e+00
      1932   0.994265  14.506056 232.096891 0.000000e+00
      1980   1.095562  14.170613 226.729812 0.000000e+00
